start...
Finetuning mode
Load outputs/2022-08-15-15-06-30/trained_model/tetris_epoch273_score153000.pt...
Epoch: 1 / 3000, Score: 152100,  block: 3001,  Reward: 81.1 Cleared lines: 1197, col1: 810, col2: 156, col3: 17, col4: 6 
Epoch: 2 / 3000, Score: 62100,  block: 1294,  Reward: 32.8 Cleared lines: 502, col1: 315, col2: 81, col3: 7, col4: 1 
Epoch: 3 / 3000, Score: 102300,  block: 2104,  Reward: 54.8 Cleared lines: 824, col1: 549, col2: 113, col3: 15, col4: 1 
Epoch: 4 / 3000, Score: 45200,  block: 983,  Reward: 23.8 Cleared lines: 376, col1: 242, col2: 58, col3: 6, col4: 0 
Epoch: 5 / 3000, Score: 149900,  block: 3001,  Reward: 79.7 Cleared lines: 1196, col1: 776, col2: 175, col3: 22, col4: 1 
Epoch: 6 / 3000, Score: 24600,  block: 580,  Reward: 12.7 Cleared lines: 215, col1: 153, col2: 25, col3: 4, col4: 0 
Epoch: 7 / 3000, Score: 31000,  block: 712,  Reward: 15.9 Cleared lines: 267, col1: 196, col2: 29, col3: 3, col4: 1 
Epoch: 8 / 3000, Score: 52100,  block: 1108,  Reward: 26.6 Cleared lines: 425, col1: 302, col2: 46, col3: 9, col4: 1 
Epoch: 9 / 3000, Score: 57900,  block: 1327,  Reward: 31.2 Cleared lines: 517, col1: 384, col2: 62, col3: 3, col4: 0 
Epoch: 10 / 3000, Score: 150300,  block: 3001,  Reward: 79.8 Cleared lines: 1197, col1: 798, col2: 166, col3: 17, col4: 4 
Epoch: 11 / 3000, Score: 151800,  block: 3001,  Reward: 80.1 Cleared lines: 1199, col1: 786, col2: 169, col3: 21, col4: 3 
Epoch: 12 / 3000, Score: 147300,  block: 3001,  Reward: 78.3 Cleared lines: 1196, col1: 792, col2: 173, col3: 18, col4: 1 
Epoch: 13 / 3000, Score: 143900,  block: 3001,  Reward: 77.0 Cleared lines: 1199, col1: 839, col2: 158, col3: 12, col4: 2 
