start...
Finetuning mode
Load outputs/2022-08-15-23-33-28/trained_model/tetris_epoch541_score158800.pt...
Epoch: 1 / 3000, Score: 152700,  block: 3001,  Reward: 43.4 Cleared lines: 1198, col1: 759, col2: 184, col3: 21, col4: 2 
Epoch: 2 / 3000, Score: 154900,  block: 3001,  Reward: 50.7 Cleared lines: 1197, col1: 730, col2: 195, col3: 23, col4: 2 
Epoch: 3 / 3000, Score: 154300,  block: 3001,  Reward: 52.4 Cleared lines: 1196, col1: 736, col2: 197, col3: 18, col4: 3 
Epoch: 4 / 3000, Score: 159500,  block: 3001,  Reward: 49.2 Cleared lines: 1198, col1: 713, col2: 207, col3: 17, col4: 5 
Epoch: 5 / 3000, Score: 153100,  block: 3001,  Reward: 51.8 Cleared lines: 1198, col1: 772, col2: 184, col3: 14, col4: 4 
Epoch: 6 / 3000, Score: 36400,  block: 833,  Reward: 10.0 Cleared lines: 316, col1: 202, col2: 51, col3: 4, col4: 0 
Epoch: 7 / 3000, Score: 45200,  block: 984,  Reward: 12.7 Cleared lines: 378, col1: 239, col2: 59, col3: 7, col4: 0 
Epoch: 8 / 3000, Score: 153600,  block: 3001,  Reward: 53.6 Cleared lines: 1199, col1: 759, col2: 187, col3: 18, col4: 3 
Epoch: 9 / 3000, Score: 154000,  block: 3001,  Reward: 49.0 Cleared lines: 1196, col1: 748, col2: 195, col3: 14, col4: 4 
Epoch: 10 / 3000, Score: 149400,  block: 3001,  Reward: 46.5 Cleared lines: 1195, col1: 765, col2: 183, col3: 20, col4: 1 
Epoch: 11 / 3000, Score: 108800,  block: 2246,  Reward: 36.8 Cleared lines: 882, col1: 566, col2: 138, col3: 12, col4: 1 
Epoch: 12 / 3000, Score: 11900,  block: 345,  Reward: 1.7 Cleared lines: 124, col1: 89, col2: 16, col3: 1, col4: 0 
Epoch: 13 / 3000, Score: 148900,  block: 3001,  Reward: 47.3 Cleared lines: 1199, col1: 775, col2: 187, col3: 14, col4: 2 
Epoch: 14 / 3000, Score: 144300,  block: 3001,  Reward: 49.1 Cleared lines: 1199, col1: 816, col2: 170, col3: 13, col4: 1 
Epoch: 15 / 3000, Score: 140400,  block: 3001,  Reward: 41.4 Cleared lines: 1197, col1: 828, col2: 168, col3: 11, col4: 0 
Epoch: 16 / 3000, Score: 157800,  block: 3001,  Reward: 53.5 Cleared lines: 1198, col1: 780, col2: 173, col3: 16, col4: 6 
