start...
Finetuning mode
Load outputs/2022-08-17-08-15-23/trained_model/tetris_epoch28_score179300.pt...
Epoch: 1 / 3000, Score: -2700,  block: 26,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 2 / 3000, Score: -2700,  block: 22,  Reward: -1.6 Cleared lines: 0, col: 0/0/0/0 
Epoch: 3 / 3000, Score: -2700,  block: 33,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 4 / 3000, Score: -2700,  block: 20,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 5 / 3000, Score: -2700,  block: 19,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 6 / 3000, Score: -2700,  block: 21,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 7 / 3000, Score: -2600,  block: 29,  Reward: -1.4 Cleared lines: 1, col: 1/0/0/0 
Epoch: 8 / 3000, Score: -2700,  block: 23,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 9 / 3000, Score: -2700,  block: 29,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 10 / 3000, Score: -2700,  block: 23,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 11 / 3000, Score: -2700,  block: 27,  Reward: -1.7 Cleared lines: 0, col: 0/0/0/0 
Epoch: 12 / 3000, Score: -2700,  block: 26,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 13 / 3000, Score: -2700,  block: 23,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 14 / 3000, Score: -2700,  block: 26,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 15 / 3000, Score: -2700,  block: 22,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 16 / 3000, Score: -2700,  block: 18,  Reward: -1.2 Cleared lines: 0, col: 0/0/0/0 
Epoch: 17 / 3000, Score: -2700,  block: 16,  Reward: -1.2 Cleared lines: 0, col: 0/0/0/0 
Epoch: 18 / 3000, Score: -2700,  block: 26,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 19 / 3000, Score: -2700,  block: 21,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 20 / 3000, Score: -2700,  block: 19,  Reward: -1.6 Cleared lines: 0, col: 0/0/0/0 
Epoch: 21 / 3000, Score: -2700,  block: 19,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 22 / 3000, Score: -2700,  block: 24,  Reward: -1.6 Cleared lines: 0, col: 0/0/0/0 
Epoch: 23 / 3000, Score: -2600,  block: 29,  Reward: -1.3 Cleared lines: 1, col: 1/0/0/0 
Epoch: 24 / 3000, Score: -2700,  block: 25,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 25 / 3000, Score: -2700,  block: 30,  Reward: -1.6 Cleared lines: 0, col: 0/0/0/0 
Epoch: 26 / 3000, Score: -2700,  block: 29,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 27 / 3000, Score: -2700,  block: 19,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 28 / 3000, Score: -2700,  block: 28,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 29 / 3000, Score: -2700,  block: 15,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 30 / 3000, Score: -2700,  block: 19,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 31 / 3000, Score: -2700,  block: 20,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 32 / 3000, Score: -2700,  block: 27,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 33 / 3000, Score: -2700,  block: 20,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 34 / 3000, Score: -2700,  block: 24,  Reward: -1.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 35 / 3000, Score: -2700,  block: 18,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 36 / 3000, Score: -2700,  block: 26,  Reward: -1.7 Cleared lines: 0, col: 0/0/0/0 
Epoch: 37 / 3000, Score: -2700,  block: 18,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 38 / 3000, Score: -2700,  block: 23,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 39 / 3000, Score: -2700,  block: 22,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 40 / 3000, Score: -2700,  block: 17,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 41 / 3000, Score: -2700,  block: 27,  Reward: -1.6 Cleared lines: 0, col: 0/0/0/0 
Epoch: 42 / 3000, Score: -2700,  block: 23,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 43 / 3000, Score: -2700,  block: 25,  Reward: -1.7 Cleared lines: 0, col: 0/0/0/0 
Epoch: 44 / 3000, Score: -2700,  block: 27,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 45 / 3000, Score: -2700,  block: 33,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 46 / 3000, Score: -2700,  block: 19,  Reward: -1.7 Cleared lines: 0, col: 0/0/0/0 
Epoch: 47 / 3000, Score: -2700,  block: 26,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 48 / 3000, Score: -2700,  block: 15,  Reward: -1.2 Cleared lines: 0, col: 0/0/0/0 
Epoch: 49 / 3000, Score: -2700,  block: 17,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 50 / 3000, Score: -2700,  block: 20,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 51 / 3000, Score: -2700,  block: 28,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 52 / 3000, Score: -2700,  block: 21,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 53 / 3000, Score: -2700,  block: 22,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 54 / 3000, Score: -2700,  block: 18,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 55 / 3000, Score: -2700,  block: 23,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 56 / 3000, Score: -2700,  block: 23,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 57 / 3000, Score: -2700,  block: 12,  Reward: -1.2 Cleared lines: 0, col: 0/0/0/0 
Epoch: 58 / 3000, Score: -2700,  block: 20,  Reward: -1.6 Cleared lines: 0, col: 0/0/0/0 
Epoch: 59 / 3000, Score: -2700,  block: 25,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 60 / 3000, Score: -2700,  block: 22,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 61 / 3000, Score: -2700,  block: 27,  Reward: -1.9 Cleared lines: 0, col: 0/0/0/0 
Epoch: 62 / 3000, Score: -2700,  block: 23,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 63 / 3000, Score: -2700,  block: 22,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 64 / 3000, Score: -2700,  block: 23,  Reward: -1.6 Cleared lines: 0, col: 0/0/0/0 
Epoch: 65 / 3000, Score: -2700,  block: 21,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 66 / 3000, Score: -2700,  block: 21,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 67 / 3000, Score: -2700,  block: 16,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 68 / 3000, Score: -2700,  block: 20,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 69 / 3000, Score: -2700,  block: 21,  Reward: -1.7 Cleared lines: 0, col: 0/0/0/0 
Epoch: 70 / 3000, Score: -2700,  block: 22,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 71 / 3000, Score: -2700,  block: 23,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 72 / 3000, Score: -2700,  block: 19,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 73 / 3000, Score: -2700,  block: 20,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 74 / 3000, Score: -2700,  block: 27,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 75 / 3000, Score: -2700,  block: 20,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 76 / 3000, Score: -2700,  block: 27,  Reward: -1.6 Cleared lines: 0, col: 0/0/0/0 
Epoch: 77 / 3000, Score: -2700,  block: 17,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 78 / 3000, Score: -2700,  block: 20,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 79 / 3000, Score: -2700,  block: 23,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 80 / 3000, Score: -2700,  block: 19,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 81 / 3000, Score: -2700,  block: 23,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 82 / 3000, Score: -2700,  block: 15,  Reward: -1.2 Cleared lines: 0, col: 0/0/0/0 
Epoch: 83 / 3000, Score: -2700,  block: 25,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 84 / 3000, Score: -2700,  block: 20,  Reward: -1.6 Cleared lines: 0, col: 0/0/0/0 
Epoch: 85 / 3000, Score: -2700,  block: 25,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 86 / 3000, Score: -2700,  block: 15,  Reward: -1.2 Cleared lines: 0, col: 0/0/0/0 
Epoch: 87 / 3000, Score: -2700,  block: 21,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 88 / 3000, Score: -2700,  block: 19,  Reward: -1.8 Cleared lines: 0, col: 0/0/0/0 
Epoch: 89 / 3000, Score: -2700,  block: 21,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 90 / 3000, Score: -2700,  block: 19,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 91 / 3000, Score: -2700,  block: 27,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 92 / 3000, Score: -2700,  block: 17,  Reward: -1.2 Cleared lines: 0, col: 0/0/0/0 
Epoch: 93 / 3000, Score: -2700,  block: 27,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 94 / 3000, Score: -2700,  block: 25,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 95 / 3000, Score: -2700,  block: 21,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 96 / 3000, Score: -2700,  block: 21,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 97 / 3000, Score: -2700,  block: 23,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 98 / 3000, Score: -2700,  block: 26,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 99 / 3000, Score: -2700,  block: 23,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 100 / 3000, Score: -2700,  block: 20,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 101 / 3000, Score: -2700,  block: 22,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 102 / 3000, Score: -2700,  block: 23,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 103 / 3000, Score: -2700,  block: 26,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 104 / 3000, Score: -2700,  block: 18,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 105 / 3000, Score: -2700,  block: 18,  Reward: -1.5 Cleared lines: 0, col: 0/0/0/0 
Epoch: 106 / 3000, Score: -2700,  block: 23,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 107 / 3000, Score: -2700,  block: 22,  Reward: -1.3 Cleared lines: 0, col: 0/0/0/0 
Epoch: 108 / 3000, Score: -2700,  block: 19,  Reward: -1.4 Cleared lines: 0, col: 0/0/0/0 
Epoch: 109 / 3000, Score: -2700,  block: 21,  Reward: -1.6 Cleared lines: 0, col: 0/0/0/0 
