start...
Finetuning mode
Load outputs/2022-09-10-11-12-34/trained_model/tetris_epoch110_score26900.pt...
Epoch: 1 / 100000, Score: 13600,  block: 301,  Reward: -127.3193 Cleared lines: 119, col: 80/18/1/0 
Epoch: 2 / 100000, Score: 1600,  block: 61,  Reward: -64.9544 Cleared lines: 16, col: 6/5/0/0 
Epoch: 3 / 100000, Score: 1200,  block: 33,  Reward: -34.0311 Cleared lines: 9, col: 3/0/2/0 
Epoch: 4 / 100000, Score: 13900,  block: 301,  Reward: -126.9208 Cleared lines: 119, col: 79/17/2/0 
Epoch: 5 / 100000, Score: 700,  block: 43,  Reward: -36.9276 Cleared lines: 10, col: 6/2/0/0 
Epoch: 6 / 100000, Score: 15200,  block: 301,  Reward: -113.4275 Cleared lines: 120, col: 74/19/0/2 
Epoch: 7 / 100000, Score: 14100,  block: 301,  Reward: -151.9230 Cleared lines: 121, col: 85/16/0/1 
Epoch: 8 / 100000, Score: 14500,  block: 301,  Reward: -156.4984 Cleared lines: 121, col: 77/20/0/1 
Epoch: 9 / 100000, Score: 15200,  block: 301,  Reward: -165.0145 Cleared lines: 121, col: 69/20/4/0 
Epoch: 10 / 100000, Score: 13200,  block: 301,  Reward: -177.6975 Cleared lines: 117, col: 82/16/1/0 
Epoch: 11 / 100000, Score: 16400,  block: 301,  Reward: -179.5020 Cleared lines: 121, col: 77/13/2/3 
Epoch: 12 / 100000, Score: 13700,  block: 301,  Reward: -134.9924 Cleared lines: 120, col: 86/14/2/0 
Epoch: 13 / 100000, Score: 13900,  block: 301,  Reward: -120.5224 Cleared lines: 119, col: 79/17/2/0 
Epoch: 14 / 100000, Score: 13600,  block: 301,  Reward: -142.9433 Cleared lines: 123, col: 87/18/0/0 
Epoch: 15 / 100000, Score: 14700,  block: 301,  Reward: -130.4187 Cleared lines: 121, col: 79/15/4/0 
Epoch: 16 / 100000, Score: 13500,  block: 301,  Reward: -125.9155 Cleared lines: 120, col: 85/16/1/0 
Epoch: 17 / 100000, Score: 14400,  block: 301,  Reward: -115.6336 Cleared lines: 120, col: 77/17/3/0 
Epoch: 18 / 100000, Score: 10500,  block: 257,  Reward: -141.3274 Cleared lines: 92, col: 66/10/2/0 
Epoch: 19 / 100000, Score: 16100,  block: 301,  Reward: -153.1957 Cleared lines: 119, col: 59/22/4/1 
Epoch: 20 / 100000, Score: 14500,  block: 301,  Reward: -125.2033 Cleared lines: 118, col: 73/19/1/1 
Epoch: 21 / 100000, Score: 13600,  block: 301,  Reward: -136.7865 Cleared lines: 119, col: 80/18/1/0 
Epoch: 22 / 100000, Score: 14200,  block: 301,  Reward: -121.9936 Cleared lines: 120, col: 71/23/1/0 
Epoch: 23 / 100000, Score: 13100,  block: 301,  Reward: -134.7705 Cleared lines: 115, col: 83/13/2/0 
Epoch: 24 / 100000, Score: 2500,  block: 78,  Reward: -65.9647 Cleared lines: 23, col: 14/3/1/0 
Epoch: 25 / 100000, Score: 14200,  block: 301,  Reward: -126.4593 Cleared lines: 121, col: 84/14/3/0 
Epoch: 26 / 100000, Score: 14600,  block: 301,  Reward: -123.8566 Cleared lines: 121, col: 71/22/2/0 
Epoch: 27 / 100000, Score: 15000,  block: 301,  Reward: -129.2883 Cleared lines: 123, col: 74/20/3/0 
Epoch: 28 / 100000, Score: 14200,  block: 301,  Reward: -157.1263 Cleared lines: 121, col: 79/18/2/0 
Epoch: 29 / 100000, Score: 7400,  block: 188,  Reward: -141.8629 Cleared lines: 65, col: 42/10/1/0 
Epoch: 30 / 100000, Score: 4400,  block: 120,  Reward: -98.6899 Cleared lines: 38, col: 21/7/1/0 
Epoch: 31 / 100000, Score: 13500,  block: 301,  Reward: -146.8725 Cleared lines: 119, col: 77/21/0/0 
Epoch: 32 / 100000, Score: 4300,  block: 124,  Reward: -84.7695 Cleared lines: 38, col: 23/6/1/0 
Epoch: 33 / 100000, Score: 15900,  block: 301,  Reward: -123.4902 Cleared lines: 119, col: 63/20/4/1 
Epoch: 34 / 100000, Score: 13900,  block: 301,  Reward: -172.8226 Cleared lines: 119, col: 74/21/1/0 
Epoch: 35 / 100000, Score: 2400,  block: 79,  Reward: -66.9650 Cleared lines: 23, col: 11/6/0/0 
Epoch: 36 / 100000, Score: 600,  block: 45,  Reward: -40.4393 Cleared lines: 9, col: 5/2/0/0 
Epoch: 37 / 100000, Score: 13700,  block: 301,  Reward: -134.6384 Cleared lines: 117, col: 77/17/2/0 
Epoch: 38 / 100000, Score: 14300,  block: 301,  Reward: -132.7772 Cleared lines: 119, col: 66/25/1/0 
Epoch: 39 / 100000, Score: 15900,  block: 301,  Reward: -151.1381 Cleared lines: 120, col: 75/14/3/2 
Epoch: 40 / 100000, Score: 15700,  block: 301,  Reward: -202.4353 Cleared lines: 121, col: 68/20/3/1 
Epoch: 41 / 100000, Score: 14400,  block: 301,  Reward: -133.4626 Cleared lines: 122, col: 87/14/1/1 
Epoch: 42 / 100000, Score: 14400,  block: 301,  Reward: -136.8389 Cleared lines: 121, col: 75/20/2/0 
Epoch: 43 / 100000, Score: 15900,  block: 301,  Reward: -141.3083 Cleared lines: 121, col: 70/15/7/0 
Epoch: 44 / 100000, Score: 15100,  block: 301,  Reward: -153.4849 Cleared lines: 121, col: 66/23/3/0 
Epoch: 45 / 100000, Score: 14500,  block: 301,  Reward: -137.6984 Cleared lines: 123, col: 79/19/2/0 
Epoch: 46 / 100000, Score: 14100,  block: 301,  Reward: -153.6899 Cleared lines: 116, col: 66/22/2/0 
Epoch: 47 / 100000, Score: 2300,  block: 78,  Reward: -64.6239 Cleared lines: 22, col: 10/6/0/0 
Epoch: 48 / 100000, Score: 14100,  block: 301,  Reward: -120.6089 Cleared lines: 120, col: 73/22/1/0 
Epoch: 49 / 100000, Score: 16800,  block: 301,  Reward: -138.0625 Cleared lines: 122, col: 58/25/2/2 
Epoch: 50 / 100000, Score: 16300,  block: 301,  Reward: -136.5714 Cleared lines: 120, col: 62/22/2/2 
Epoch: 51 / 100000, Score: 14100,  block: 301,  Reward: -126.8899 Cleared lines: 119, col: 80/15/3/0 
Epoch: 52 / 100000, Score: 13900,  block: 301,  Reward: -101.9777 Cleared lines: 122, col: 83/18/1/0 
Epoch: 53 / 100000, Score: 15400,  block: 301,  Reward: -174.1880 Cleared lines: 123, col: 66/24/3/0 
Epoch: 54 / 100000, Score: 13700,  block: 301,  Reward: -132.3326 Cleared lines: 116, col: 74/18/2/0 
Epoch: 55 / 100000, Score: 14900,  block: 301,  Reward: -115.2116 Cleared lines: 121, col: 75/17/4/0 
Epoch: 56 / 100000, Score: 14100,  block: 301,  Reward: -162.4184 Cleared lines: 121, col: 76/21/1/0 
Epoch: 57 / 100000, Score: 14900,  block: 301,  Reward: -131.6792 Cleared lines: 122, col: 68/24/2/0 
Epoch: 58 / 100000, Score: 14500,  block: 301,  Reward: -93.1633 Cleared lines: 121, col: 78/17/3/0 
Epoch: 59 / 100000, Score: 15200,  block: 301,  Reward: -122.9083 Cleared lines: 122, col: 72/19/4/0 
Epoch: 60 / 100000, Score: 15200,  block: 301,  Reward: -149.8229 Cleared lines: 122, col: 72/19/4/0 
Epoch: 61 / 100000, Score: 15900,  block: 301,  Reward: -128.1054 Cleared lines: 120, col: 61/23/3/1 
Epoch: 62 / 100000, Score: 16000,  block: 301,  Reward: -120.2902 Cleared lines: 122, col: 70/18/4/1 
Epoch: 63 / 100000, Score: 14200,  block: 301,  Reward: -101.7046 Cleared lines: 120, col: 76/19/2/0 
Epoch: 64 / 100000, Score: 14100,  block: 301,  Reward: -142.5795 Cleared lines: 122, col: 84/16/2/0 
Epoch: 65 / 100000, Score: 13400,  block: 301,  Reward: -107.4511 Cleared lines: 122, col: 88/17/0/0 
