start...
Epoch: 1 / 10000, Score: -500,  block: 28,  Reward: -4.7829 Cleared lines: 0, col: 0/0/0/0 
Epoch: 2 / 10000, Score: -500,  block: 14,  Reward: -2.5506 Cleared lines: 0, col: 0/0/0/0 
Epoch: 3 / 10000, Score: -500,  block: 20,  Reward: -3.3064 Cleared lines: 0, col: 0/0/0/0 
Epoch: 4 / 10000, Score: -500,  block: 21,  Reward: -4.5374 Cleared lines: 0, col: 0/0/0/0 
Epoch: 5 / 10000, Score: -500,  block: 17,  Reward: -3.1005 Cleared lines: 0, col: 0/0/0/0 
Epoch: 6 / 10000, Score: -500,  block: 16,  Reward: -3.1091 Cleared lines: 0, col: 0/0/0/0 
Epoch: 7 / 10000, Score: -500,  block: 22,  Reward: -3.2693 Cleared lines: 0, col: 0/0/0/0 
Epoch: 8 / 10000, Score: -500,  block: 22,  Reward: -2.7948 Cleared lines: 0, col: 0/0/0/0 
Epoch: 9 / 10000, Score: -500,  block: 17,  Reward: -2.5821 Cleared lines: 0, col: 0/0/0/0 
Epoch: 10 / 10000, Score: -500,  block: 16,  Reward: -2.7618 Cleared lines: 0, col: 0/0/0/0 
Epoch: 11 / 10000, Score: -500,  block: 19,  Reward: -3.5863 Cleared lines: 0, col: 0/0/0/0 
Epoch: 12 / 10000, Score: -500,  block: 11,  Reward: -2.2145 Cleared lines: 0, col: 0/0/0/0 
Epoch: 13 / 10000, Score: -500,  block: 20,  Reward: -2.9338 Cleared lines: 0, col: 0/0/0/0 
Epoch: 14 / 10000, Score: -500,  block: 20,  Reward: -4.0028 Cleared lines: 0, col: 0/0/0/0 
Epoch: 15 / 10000, Score: -500,  block: 18,  Reward: -2.5547 Cleared lines: 0, col: 0/0/0/0 
Epoch: 16 / 10000, Score: -500,  block: 22,  Reward: -3.6033 Cleared lines: 0, col: 0/0/0/0 
Epoch: 17 / 10000, Score: -500,  block: 19,  Reward: -4.0855 Cleared lines: 0, col: 0/0/0/0 
Epoch: 18 / 10000, Score: -500,  block: 20,  Reward: -3.7289 Cleared lines: 0, col: 0/0/0/0 
Epoch: 19 / 10000, Score: -500,  block: 21,  Reward: -3.7463 Cleared lines: 0, col: 0/0/0/0 
Epoch: 20 / 10000, Score: -500,  block: 21,  Reward: -3.5846 Cleared lines: 0, col: 0/0/0/0 
Epoch: 21 / 10000, Score: -500,  block: 14,  Reward: -2.3999 Cleared lines: 0, col: 0/0/0/0 
Epoch: 22 / 10000, Score: -500,  block: 25,  Reward: -3.2588 Cleared lines: 0, col: 0/0/0/0 
Epoch: 23 / 10000, Score: -500,  block: 26,  Reward: -4.6415 Cleared lines: 0, col: 0/0/0/0 
Epoch: 24 / 10000, Score: -500,  block: 23,  Reward: -3.3644 Cleared lines: 0, col: 0/0/0/0 
Epoch: 25 / 10000, Score: -500,  block: 25,  Reward: -3.0734 Cleared lines: 0, col: 0/0/0/0 
Epoch: 26 / 10000, Score: -500,  block: 27,  Reward: -3.8093 Cleared lines: 0, col: 0/0/0/0 
Epoch: 27 / 10000, Score: -500,  block: 21,  Reward: -2.7620 Cleared lines: 0, col: 0/0/0/0 
Epoch: 28 / 10000, Score: -500,  block: 25,  Reward: -4.0107 Cleared lines: 0, col: 0/0/0/0 
Epoch: 29 / 10000, Score: -500,  block: 15,  Reward: -2.4955 Cleared lines: 0, col: 0/0/0/0 
Epoch: 30 / 10000, Score: -500,  block: 19,  Reward: -3.1440 Cleared lines: 0, col: 0/0/0/0 
Epoch: 31 / 10000, Score: -500,  block: 25,  Reward: -3.5706 Cleared lines: 0, col: 0/0/0/0 
Epoch: 32 / 10000, Score: -500,  block: 18,  Reward: -3.4243 Cleared lines: 0, col: 0/0/0/0 
Epoch: 33 / 10000, Score: -500,  block: 29,  Reward: -4.6646 Cleared lines: 0, col: 0/0/0/0 
Epoch: 34 / 10000, Score: -500,  block: 14,  Reward: -2.3853 Cleared lines: 0, col: 0/0/0/0 
Epoch: 35 / 10000, Score: -500,  block: 22,  Reward: -3.1156 Cleared lines: 0, col: 0/0/0/0 
Epoch: 36 / 10000, Score: -500,  block: 20,  Reward: -3.0520 Cleared lines: 0, col: 0/0/0/0 
Epoch: 37 / 10000, Score: -500,  block: 23,  Reward: -3.8733 Cleared lines: 0, col: 0/0/0/0 
Epoch: 38 / 10000, Score: -500,  block: 20,  Reward: -4.2025 Cleared lines: 0, col: 0/0/0/0 
Epoch: 39 / 10000, Score: -500,  block: 18,  Reward: -2.7154 Cleared lines: 0, col: 0/0/0/0 
Epoch: 40 / 10000, Score: -500,  block: 18,  Reward: -3.4499 Cleared lines: 0, col: 0/0/0/0 
Epoch: 41 / 10000, Score: -500,  block: 26,  Reward: -5.1616 Cleared lines: 0, col: 0/0/0/0 
Epoch: 42 / 10000, Score: -500,  block: 18,  Reward: -2.7895 Cleared lines: 0, col: 0/0/0/0 
Epoch: 43 / 10000, Score: -500,  block: 18,  Reward: -3.3401 Cleared lines: 0, col: 0/0/0/0 
Epoch: 44 / 10000, Score: -500,  block: 24,  Reward: -4.2391 Cleared lines: 0, col: 0/0/0/0 
Epoch: 45 / 10000, Score: -500,  block: 26,  Reward: -3.2902 Cleared lines: 0, col: 0/0/0/0 
Epoch: 46 / 10000, Score: -500,  block: 22,  Reward: -4.3584 Cleared lines: 0, col: 0/0/0/0 
Epoch: 47 / 10000, Score: -500,  block: 27,  Reward: -3.5906 Cleared lines: 0, col: 0/0/0/0 
Epoch: 48 / 10000, Score: -500,  block: 28,  Reward: -4.0270 Cleared lines: 0, col: 0/0/0/0 
Epoch: 49 / 10000, Score: -500,  block: 29,  Reward: -6.6967 Cleared lines: 0, col: 0/0/0/0 
Epoch: 50 / 10000, Score: -500,  block: 23,  Reward: -2.6753 Cleared lines: 0, col: 0/0/0/0 
Epoch: 51 / 10000, Score: -500,  block: 22,  Reward: -4.2652 Cleared lines: 0, col: 0/0/0/0 
Epoch: 52 / 10000, Score: -500,  block: 21,  Reward: -3.8890 Cleared lines: 0, col: 0/0/0/0 
Epoch: 53 / 10000, Score: -500,  block: 16,  Reward: -3.0010 Cleared lines: 0, col: 0/0/0/0 
Epoch: 54 / 10000, Score: -500,  block: 21,  Reward: -3.6317 Cleared lines: 0, col: 0/0/0/0 
Epoch: 55 / 10000, Score: -400,  block: 22,  Reward: -3.3406 Cleared lines: 1, col: 1/0/0/0 
Epoch: 56 / 10000, Score: -500,  block: 22,  Reward: -3.4938 Cleared lines: 0, col: 0/0/0/0 
Epoch: 57 / 10000, Score: -500,  block: 22,  Reward: -3.8622 Cleared lines: 0, col: 0/0/0/0 
Epoch: 58 / 10000, Score: -500,  block: 20,  Reward: -3.8497 Cleared lines: 0, col: 0/0/0/0 
Epoch: 59 / 10000, Score: -500,  block: 19,  Reward: -3.9238 Cleared lines: 0, col: 0/0/0/0 
Epoch: 60 / 10000, Score: -500,  block: 28,  Reward: -4.1434 Cleared lines: 0, col: 0/0/0/0 
Epoch: 61 / 10000, Score: -500,  block: 25,  Reward: -4.1758 Cleared lines: 0, col: 0/0/0/0 
Epoch: 62 / 10000, Score: -500,  block: 24,  Reward: -4.5234 Cleared lines: 0, col: 0/0/0/0 
Epoch: 63 / 10000, Score: -500,  block: 14,  Reward: -2.7564 Cleared lines: 0, col: 0/0/0/0 
Epoch: 64 / 10000, Score: -500,  block: 23,  Reward: -3.9145 Cleared lines: 0, col: 0/0/0/0 
Epoch: 65 / 10000, Score: -500,  block: 19,  Reward: -3.0970 Cleared lines: 0, col: 0/0/0/0 
Epoch: 66 / 10000, Score: -500,  block: 19,  Reward: -3.4923 Cleared lines: 0, col: 0/0/0/0 
Epoch: 67 / 10000, Score: -500,  block: 25,  Reward: -4.2999 Cleared lines: 0, col: 0/0/0/0 
Epoch: 68 / 10000, Score: -500,  block: 18,  Reward: -3.4880 Cleared lines: 0, col: 0/0/0/0 
Epoch: 69 / 10000, Score: -500,  block: 27,  Reward: -3.9351 Cleared lines: 0, col: 0/0/0/0 
Epoch: 70 / 10000, Score: -500,  block: 23,  Reward: -4.0610 Cleared lines: 0, col: 0/0/0/0 
Epoch: 71 / 10000, Score: -400,  block: 28,  Reward: -4.2923 Cleared lines: 1, col: 1/0/0/0 
Epoch: 72 / 10000, Score: -500,  block: 16,  Reward: -2.3990 Cleared lines: 0, col: 0/0/0/0 
Epoch: 73 / 10000, Score: -500,  block: 22,  Reward: -2.9269 Cleared lines: 0, col: 0/0/0/0 
Epoch: 74 / 10000, Score: -500,  block: 20,  Reward: -3.5486 Cleared lines: 0, col: 0/0/0/0 
Epoch: 75 / 10000, Score: -500,  block: 22,  Reward: -4.3267 Cleared lines: 0, col: 0/0/0/0 
Epoch: 76 / 10000, Score: -500,  block: 18,  Reward: -2.3742 Cleared lines: 0, col: 0/0/0/0 
Epoch: 77 / 10000, Score: -500,  block: 21,  Reward: -2.8464 Cleared lines: 0, col: 0/0/0/0 
Epoch: 78 / 10000, Score: -500,  block: 21,  Reward: -3.1583 Cleared lines: 0, col: 0/0/0/0 
Epoch: 79 / 10000, Score: -500,  block: 22,  Reward: -3.6260 Cleared lines: 0, col: 0/0/0/0 
Epoch: 80 / 10000, Score: -500,  block: 24,  Reward: -4.6142 Cleared lines: 0, col: 0/0/0/0 
Epoch: 81 / 10000, Score: -500,  block: 24,  Reward: -3.1426 Cleared lines: 0, col: 0/0/0/0 
Epoch: 82 / 10000, Score: -500,  block: 24,  Reward: -4.5773 Cleared lines: 0, col: 0/0/0/0 
Epoch: 83 / 10000, Score: -500,  block: 16,  Reward: -3.0585 Cleared lines: 0, col: 0/0/0/0 
Epoch: 84 / 10000, Score: -500,  block: 20,  Reward: -4.1660 Cleared lines: 0, col: 0/0/0/0 
Epoch: 85 / 10000, Score: -500,  block: 17,  Reward: -3.2675 Cleared lines: 0, col: 0/0/0/0 
Epoch: 86 / 10000, Score: -500,  block: 14,  Reward: -2.6085 Cleared lines: 0, col: 0/0/0/0 
Epoch: 87 / 10000, Score: -500,  block: 22,  Reward: -3.2497 Cleared lines: 0, col: 0/0/0/0 
Epoch: 88 / 10000, Score: -500,  block: 21,  Reward: -2.7865 Cleared lines: 0, col: 0/0/0/0 
Epoch: 89 / 10000, Score: -500,  block: 27,  Reward: -4.2811 Cleared lines: 0, col: 0/0/0/0 
Epoch: 90 / 10000, Score: -500,  block: 24,  Reward: -3.3315 Cleared lines: 0, col: 0/0/0/0 
Epoch: 91 / 10000, Score: -500,  block: 18,  Reward: -3.1404 Cleared lines: 0, col: 0/0/0/0 
Epoch: 92 / 10000, Score: -500,  block: 17,  Reward: -3.3729 Cleared lines: 0, col: 0/0/0/0 
Epoch: 93 / 10000, Score: -500,  block: 20,  Reward: -3.8500 Cleared lines: 0, col: 0/0/0/0 
Epoch: 94 / 10000, Score: -500,  block: 18,  Reward: -2.8020 Cleared lines: 0, col: 0/0/0/0 
Epoch: 95 / 10000, Score: -500,  block: 22,  Reward: -4.0096 Cleared lines: 0, col: 0/0/0/0 
Epoch: 96 / 10000, Score: -500,  block: 18,  Reward: -2.7806 Cleared lines: 0, col: 0/0/0/0 
Epoch: 97 / 10000, Score: -500,  block: 22,  Reward: -4.0638 Cleared lines: 0, col: 0/0/0/0 
Epoch: 98 / 10000, Score: -500,  block: 21,  Reward: -3.8184 Cleared lines: 0, col: 0/0/0/0 
Epoch: 99 / 10000, Score: -500,  block: 24,  Reward: -4.3123 Cleared lines: 0, col: 0/0/0/0 
Epoch: 100 / 10000, Score: -500,  block: 22,  Reward: -4.8369 Cleared lines: 0, col: 0/0/0/0 
Epoch: 101 / 10000, Score: -500,  block: 18,  Reward: -3.4100 Cleared lines: 0, col: 0/0/0/0 
Epoch: 102 / 10000, Score: -500,  block: 25,  Reward: -4.2771 Cleared lines: 0, col: 0/0/0/0 
Epoch: 103 / 10000, Score: -500,  block: 21,  Reward: -3.8135 Cleared lines: 0, col: 0/0/0/0 
Epoch: 104 / 10000, Score: -500,  block: 20,  Reward: -3.4310 Cleared lines: 0, col: 0/0/0/0 
Epoch: 105 / 10000, Score: -500,  block: 18,  Reward: -3.2909 Cleared lines: 0, col: 0/0/0/0 
Epoch: 106 / 10000, Score: -500,  block: 25,  Reward: -3.7304 Cleared lines: 0, col: 0/0/0/0 
Epoch: 107 / 10000, Score: -500,  block: 23,  Reward: -3.1686 Cleared lines: 0, col: 0/0/0/0 
Epoch: 108 / 10000, Score: -500,  block: 21,  Reward: -3.1015 Cleared lines: 0, col: 0/0/0/0 
Epoch: 109 / 10000, Score: -500,  block: 23,  Reward: -2.8243 Cleared lines: 0, col: 0/0/0/0 
Epoch: 110 / 10000, Score: -500,  block: 27,  Reward: -4.0493 Cleared lines: 0, col: 0/0/0/0 
Epoch: 111 / 10000, Score: -500,  block: 26,  Reward: -5.2945 Cleared lines: 0, col: 0/0/0/0 
Epoch: 112 / 10000, Score: -400,  block: 25,  Reward: -4.4042 Cleared lines: 1, col: 1/0/0/0 
Epoch: 113 / 10000, Score: -500,  block: 23,  Reward: -3.3374 Cleared lines: 0, col: 0/0/0/0 
Epoch: 114 / 10000, Score: -500,  block: 28,  Reward: -3.5522 Cleared lines: 0, col: 0/0/0/0 
Epoch: 115 / 10000, Score: -500,  block: 26,  Reward: -3.7303 Cleared lines: 0, col: 0/0/0/0 
Epoch: 116 / 10000, Score: -500,  block: 25,  Reward: -3.0656 Cleared lines: 0, col: 0/0/0/0 
Epoch: 117 / 10000, Score: -500,  block: 18,  Reward: -3.1533 Cleared lines: 0, col: 0/0/0/0 
Epoch: 118 / 10000, Score: -500,  block: 28,  Reward: -3.8301 Cleared lines: 0, col: 0/0/0/0 
Epoch: 119 / 10000, Score: -500,  block: 23,  Reward: -3.4551 Cleared lines: 0, col: 0/0/0/0 
Epoch: 120 / 10000, Score: -500,  block: 19,  Reward: -3.1795 Cleared lines: 0, col: 0/0/0/0 
Epoch: 121 / 10000, Score: -500,  block: 27,  Reward: -4.4865 Cleared lines: 0, col: 0/0/0/0 
Epoch: 122 / 10000, Score: -500,  block: 20,  Reward: -4.0048 Cleared lines: 0, col: 0/0/0/0 
Epoch: 123 / 10000, Score: -500,  block: 23,  Reward: -4.8524 Cleared lines: 0, col: 0/0/0/0 
Epoch: 124 / 10000, Score: -500,  block: 24,  Reward: -3.8546 Cleared lines: 0, col: 0/0/0/0 
Epoch: 125 / 10000, Score: -500,  block: 24,  Reward: -3.9273 Cleared lines: 0, col: 0/0/0/0 
Epoch: 126 / 10000, Score: -500,  block: 26,  Reward: -4.1067 Cleared lines: 0, col: 0/0/0/0 
Epoch: 127 / 10000, Score: -500,  block: 19,  Reward: -3.3322 Cleared lines: 0, col: 0/0/0/0 
Epoch: 128 / 10000, Score: -500,  block: 18,  Reward: -2.9256 Cleared lines: 0, col: 0/0/0/0 
Epoch: 129 / 10000, Score: -500,  block: 25,  Reward: -3.9598 Cleared lines: 0, col: 0/0/0/0 
Epoch: 130 / 10000, Score: -500,  block: 18,  Reward: -3.0719 Cleared lines: 0, col: 0/0/0/0 
Epoch: 131 / 10000, Score: -500,  block: 22,  Reward: -3.4962 Cleared lines: 0, col: 0/0/0/0 
Epoch: 132 / 10000, Score: -500,  block: 16,  Reward: -2.7722 Cleared lines: 0, col: 0/0/0/0 
Epoch: 133 / 10000, Score: -500,  block: 25,  Reward: -4.2266 Cleared lines: 0, col: 0/0/0/0 
Epoch: 134 / 10000, Score: -500,  block: 18,  Reward: -3.6591 Cleared lines: 0, col: 0/0/0/0 
Epoch: 135 / 10000, Score: -500,  block: 27,  Reward: -4.4490 Cleared lines: 0, col: 0/0/0/0 
Epoch: 136 / 10000, Score: -500,  block: 25,  Reward: -3.9477 Cleared lines: 0, col: 0/0/0/0 
Epoch: 137 / 10000, Score: -500,  block: 20,  Reward: -3.1226 Cleared lines: 0, col: 0/0/0/0 
Epoch: 138 / 10000, Score: -500,  block: 25,  Reward: -4.0417 Cleared lines: 0, col: 0/0/0/0 
Epoch: 139 / 10000, Score: -500,  block: 25,  Reward: -4.6500 Cleared lines: 0, col: 0/0/0/0 
Epoch: 140 / 10000, Score: -500,  block: 18,  Reward: -3.2599 Cleared lines: 0, col: 0/0/0/0 
Epoch: 141 / 10000, Score: -500,  block: 18,  Reward: -3.4040 Cleared lines: 0, col: 0/0/0/0 
Epoch: 142 / 10000, Score: -500,  block: 23,  Reward: -4.0016 Cleared lines: 0, col: 0/0/0/0 
Epoch: 143 / 10000, Score: -500,  block: 21,  Reward: -3.3355 Cleared lines: 0, col: 0/0/0/0 
Epoch: 144 / 10000, Score: -500,  block: 30,  Reward: -4.8259 Cleared lines: 0, col: 0/0/0/0 
Epoch: 145 / 10000, Score: -500,  block: 24,  Reward: -3.4338 Cleared lines: 0, col: 0/0/0/0 
Epoch: 146 / 10000, Score: -500,  block: 24,  Reward: -4.5386 Cleared lines: 0, col: 0/0/0/0 
Epoch: 147 / 10000, Score: -500,  block: 19,  Reward: -4.3563 Cleared lines: 0, col: 0/0/0/0 
Epoch: 148 / 10000, Score: -500,  block: 16,  Reward: -3.1170 Cleared lines: 0, col: 0/0/0/0 
Epoch: 149 / 10000, Score: -500,  block: 23,  Reward: -4.4948 Cleared lines: 0, col: 0/0/0/0 
Epoch: 150 / 10000, Score: -500,  block: 32,  Reward: -5.0186 Cleared lines: 0, col: 0/0/0/0 
Epoch: 151 / 10000, Score: -500,  block: 21,  Reward: -3.3184 Cleared lines: 0, col: 0/0/0/0 
Epoch: 152 / 10000, Score: -500,  block: 24,  Reward: -4.5329 Cleared lines: 0, col: 0/0/0/0 
Epoch: 153 / 10000, Score: -500,  block: 18,  Reward: -3.0800 Cleared lines: 0, col: 0/0/0/0 
Epoch: 154 / 10000, Score: -500,  block: 24,  Reward: -3.6770 Cleared lines: 0, col: 0/0/0/0 
Epoch: 155 / 10000, Score: -500,  block: 19,  Reward: -3.9464 Cleared lines: 0, col: 0/0/0/0 
Epoch: 156 / 10000, Score: -500,  block: 27,  Reward: -3.7852 Cleared lines: 0, col: 0/0/0/0 
Epoch: 157 / 10000, Score: -500,  block: 24,  Reward: -4.0953 Cleared lines: 0, col: 0/0/0/0 
Epoch: 158 / 10000, Score: -500,  block: 27,  Reward: -4.8208 Cleared lines: 0, col: 0/0/0/0 
Epoch: 159 / 10000, Score: -500,  block: 20,  Reward: -3.0845 Cleared lines: 0, col: 0/0/0/0 
Epoch: 160 / 10000, Score: -500,  block: 23,  Reward: -4.0317 Cleared lines: 0, col: 0/0/0/0 
Epoch: 161 / 10000, Score: -500,  block: 22,  Reward: -3.6023 Cleared lines: 0, col: 0/0/0/0 
Epoch: 162 / 10000, Score: -500,  block: 21,  Reward: -3.5776 Cleared lines: 0, col: 0/0/0/0 
Epoch: 163 / 10000, Score: -500,  block: 19,  Reward: -3.6705 Cleared lines: 0, col: 0/0/0/0 
Epoch: 164 / 10000, Score: -500,  block: 29,  Reward: -5.4097 Cleared lines: 0, col: 0/0/0/0 
Epoch: 165 / 10000, Score: -500,  block: 22,  Reward: -3.3849 Cleared lines: 0, col: 0/0/0/0 
Epoch: 166 / 10000, Score: -500,  block: 18,  Reward: -3.2065 Cleared lines: 0, col: 0/0/0/0 
Epoch: 167 / 10000, Score: -500,  block: 23,  Reward: -3.6197 Cleared lines: 0, col: 0/0/0/0 
Epoch: 168 / 10000, Score: -500,  block: 26,  Reward: -4.9279 Cleared lines: 0, col: 0/0/0/0 
